1,1825,1775,2001,5119,938,5082,
2,1769,1764,1939,4646,1785,1984,
3,3485,2874,937,2346,1997,1730,
4,1737,1763,5098,935,1994,118,
5,3612,2457,2335,932,2167,4522,
6,3528,4809,1986,1723,5013,2357,
7,2410,4959,5268,1987,2164,2560,
8,1982,1802,3973,1810,1806,3928,
9,5189,1847,1827,2345,2353,4455,
10,3172,5141,932,1777,5126,118,
11,5082,5098,1939,1986,2357,2874,
12,1730,2001,1994,3528,4646,5013,
13,4522,4809,1775,4959,3485,3928,
14,1802,2167,937,938,1984,1825,
15,2346,1810,1763,5126,5189,2560,
16,2353,2457,1827,2410,1997,1806,
17,5119,5268,3612,1785,5141,1847,
18,2335,1723,1987,935,1764,1982,
19,1777,1769,2164,1737,3973,2345,
20,3172,2874,2167,4455,1763,4959,
21,938,3485,118,5082,1810,1997,
22,3528,937,5126,2410,1785,2353,
23,1723,1939,935,5119,3928,2457,
24,1982,2164,2335,1984,4809,1994,
25,1730,2560,1775,4455,1764,1737,
26,1847,5268,2346,932,1825,1806,
27,5189,1769,2357,1777,1802,3612,
28,5141,4646,4522,5013,1827,5098,
29,2001,2345,1987,3172,1986,3973,
30,1984,4455,5126,2457,935,5082,
31,1764,2410,1994,1730,1847,3928,
32,4809,1777,932,1810,5119,1825,
33,4646,2167,2346,1802,2357,1785,
34,5098,4959,1723,2001,3973,1806,
35,1827,1986,3612,1737,938,1982,
36,5141,1997,5189,1987,1775,1939,
37,1763,2560,1769,2335,3528,3485,
38,2345,4522,2874,937,2164,118,
39,2353,5268,1984,5013,3172,3928,
40,1785,5082,4959,1810,1982,5098,
41,4455,1825,2346,5119,1986,1994,
42,2001,2560,1737,4809,5141,1763,
43,2410,2345,4646,1723,1775,3612,
44,3485,932,1827,1939,937,5189,
45,5126,2353,2357,2167,2164,3973,
46,935,938,1769,4522,3172,1730,
47,2335,5013,1847,1987,1802,2874,
48,3528,1997,1777,1806,1764,5268,
49,118,3928,1986,2457,4959,2560,
50,3612,2001,1763,2353,2346,1939,
51,932,938,1723,1984,5141,3485,
52,5119,5126,3973,1737,5189,2874,
53,1806,3172,4646,937,935,4809,
54,5013,1825,1764,2345,2164,1810,
55,4455,2410,1730,1777,5098,2335,
56,1847,1987,118,2167,3528,1827,
57,5268,2357,1982,1775,2457,1769,
58,1997,1785,4522,5082,1802,1994,
59,1806,4959,5013,5126,938,1939,
60,2874,1777,1984,4646,3612,4809,
61,1986,5098,1825,3485,1764,2353,
62,5141,3973,935,2410,3528,2346,
63,1994,2457,1810,937,1987,1769,
64,2164,4522,5082,1723,1847,1763,
65,1997,3928,2357,932,4455,2335,
66,1827,3172,2560,5119,1775,1785,
67,2167,118,1730,2001,1982,5189,
68,2345,1802,3485,5268,1737,2457,
69,1987,4522,5126,1777,1825,4646,
70,3928,1764,2164,3612,938,2346,
71,1785,1763,1806,4455,1986,1775,
72,1769,1982,2874,932,2410,2001,
73,5189,5013,935,4959,2357,937,
74,1984,5098,2167,2560,1997,5119,
75,3528,1810,1847,3172,1737,1939,
76,5268,3973,1994,2335,1827,118,
77,5082,2353,1730,1723,4809,1802,
78,5141,2357,938,2345,1982,1763,
79,4455,1987,3928,2001,3485,5126,
80,1785,1737,2346,5013,4522,2410,
81,2457,1806,3528,3612,2874,1825,
82,937,1723,5082,5268,2560,1777,
83,1827,1939,2164,4809,2167,1769,
84,118,1810,1775,935,1984,1847,
85,1997,932,3973,1986,4646,1730,
86,1802,5189,3172,1764,5098,5141,
87,4959,5119,2353,2345,2335,1994,
88,1825,2167,1785,3928,1737,1723,
89,3485,2457,1777,2164,1847,2001,
90,1939,3973,3528,4522,1982,4455,
91,5013,932,937,1775,5082,1764,
92,2346,4809,5126,5098,1997,2345,
93,1810,4646,938,2353,2335,5141,
94,3172,935,3612,1994,2874,2560,
95,1806,118,5119,2357,1987,1730,
96,1984,1802,4959,1763,1827,2410,
97,1986,5189,1764,5268,1769,4522,
98,2457,1847,4809,3973,938,1785,
99,937,1775,5098,3612,2164,3528,
100,1806,5141,2345,3485,2167,5082,
101,2357,1994,1939,5126,2410,1723,
102,2560,5013,1982,1997,1825,3172,
103,1987,2353,1737,1984,2346,932,
104,1763,1730,2874,5268,1827,1810,
105,5119,4455,4646,118,1769,4959,
106,935,2335,1802,1777,1986,2001,
107,3928,938,2410,5189,5082,3528,
